,year,state_code,state_name,municipal_code,municipal_name,asset_affected,crime_type,crime_subtype,modality,january,feburary,march,april,may,june,july,august,september,october,november,december,geo-id,population,total_crime
139,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,21206,2.0
140,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0,21206,11.0
142,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,21206,5.0
147,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,21206,1.0
150,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,1.0
161,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
164,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
172,2016,14,Jalisco,14001,Acatic,El patrimonio,Robo,Otros robos,Sin violencia,1,1,1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0,21206,8.0
173,2016,14,Jalisco,14001,Acatic,El patrimonio,Fraude,Fraude,Fraude,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
176,2016,14,Jalisco,14001,Acatic,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,1,0,3,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0,21206,15.0
177,2016,14,Jalisco,14001,Acatic,El patrimonio,Despojo,Despojo,Despojo,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,21206,3.0
179,2016,14,Jalisco,14001,Acatic,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21206,8.0
183,2016,14,Jalisco,14001,Acatic,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,1.0
186,2016,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
187,2016,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,1,0,0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0,21206,6.0
188,2016,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,3.0
191,2016,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,1.0
196,2017,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
202,2017,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,4.0
207,2017,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,1,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0,21206,8.0
211,2017,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,2,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21206,6.0
213,2017,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
228,2017,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,2.0
231,2017,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
236,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,0,0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,7.0,1.0,0,21206,20.0
237,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
238,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,1,2,2,1.0,5.0,3.0,2.0,0.0,4.0,2.0,2.0,2.0,0,21206,26.0
240,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,2,1,0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0,21206,17.0
245,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,1.0
247,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,0,0,0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0,21206,4.0
259,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
260,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a negocio,Sin violencia,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21206,3.0
262,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,2.0
263,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
268,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
269,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,3.0
270,2017,14,Jalisco,14001,Acatic,El patrimonio,Robo,Otros robos,Sin violencia,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0,21206,13.0
271,2017,14,Jalisco,14001,Acatic,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,2.0
272,2017,14,Jalisco,14001,Acatic,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,21206,2.0
